fecha;mag007;mag008;mag012;mag014
2011-02-02;10.0;32.0;47.0;46.0
2011-02-03;60.0;64.0;156.0;15.0
2011-02-04;100.0;84.0;237.0;13.0
2011-02-05;36.0;52.0;106.0;27.0
2011-02-06;42.0;42.0;107.0;38.0
2011-02-07;52.0;54.0;133.0;30.0
2011-02-08;41.0;58.0;121.0;25.0
2011-02-09;48.0;69.0;142.0;16.0
2011-02-10;42.0;57.0;121.0;25.0
2011-02-11;32.0;55.0;104.0;25.0
2011-02-12;17.0;35.0;62.0;38.0
2011-02-13;8.0;30.0;42.0;43.0
2011-02-14;5.0;20.0;28.0;61.0
2011-02-15;14.0;41.0;62.0;35.0
2011-02-16;6.0;29.0;39.0;49.0
2011-02-17;6.0;26.0;34.0;67.0
2011-02-18;40.0;54.0;115.0;29.0
2011-02-19;11.0;47.0;64.0;17.0
2011-02-20;5.0;23.0;31.0;0.0
2011-02-21;5.0;19.0;26.0;0.0
2011-02-22;8.0;26.0;39.0;58.0
2011-02-23;24.0;49.0;85.0;34.0
2011-02-24;13.0;39.0;58.0;31.0
2011-02-25;34.0;56.0;107.0;23.0
2011-02-26;54.0;53.0;136.0;31.0
2011-02-27;2.0;9.0;12.0;75.0
2011-02-28;4.0;15.0;21.0;70.0
2011-03-01;2.0;11.0;15.0;71.0
2011-03-02;3.0;18.0;22.0;62.0
2011-03-03;18.0;29.0;57.0;49.0
2011-03-04;7.0;32.0;44.0;46.0
2011-03-05;4.0;22.0;28.0;66.0
2011-03-06;6.0;25.0;34.0;57.0
2011-03-07;4.0;20.0;26.0;64.0
2011-03-08;6.0;22.0;31.0;73.0
2011-03-09;4.0;20.0;26.0;60.0
2011-03-10;11.0;29.0;46.0;44.0
2011-03-11;9.0;34.0;48.0;37.0
2011-03-12;4.0;19.0;25.0;59.0
2011-03-13;4.0;22.0;29.0;58.0
2011-03-14;4.0;22.0;29.0;59.0
2011-03-15;5.0;24.0;32.0;59.0
2011-03-16;6.0;31.0;39.0;57.0
2011-03-17;4.0;26.0;33.0;62.0
2011-03-18;14.0;41.0;62.0;44.0
2011-03-19;8.0;25.0;37.0;58.0
2011-03-20;10.0;31.0;46.0;53.0
2011-03-21;6.0;20.0;30.0;71.0
2011-03-22;2.0;12.0;16.0;85.0
2011-03-23;3.0;17.0;21.0;72.0
2011-03-24;3.0;23.0;28.0;70.0
2011-03-25;5.0;29.0;36.0;83.0
2011-03-26;6.0;28.0;36.0;67.0
2011-03-27;4.0;18.0;23.0;96.0
2011-03-28;6.0;27.0;36.0;97.0
2011-03-29;20.0;30.0;61.0;85.0
2011-03-30;6.0;26.0;34.0;88.0
2011-03-31;32.0;61.0;111.0;44.0
2011-04-01;15.0;39.0;63.0;67.0
2011-04-02;7.0;39.0;49.0;55.0
2011-04-03;6.0;31.0;40.0;53.0
2011-04-04;9.0;29.0;43.0;64.0
2011-04-05;9.0;31.0;45.0;53.0
2011-04-06;6.0;31.0;40.0;53.0
2011-04-07;15.0;40.0;63.0;53.0
2011-04-08;21.0;59.0;91.0;50.0
2011-04-09;10.0;36.0;51.0;64.0
2011-04-10;7.0;33.0;45.0;65.0
2011-04-11;4.0;18.0;24.0;83.0
2011-04-12;7.0;26.0;37.0;84.0
2011-04-13;8.0;37.0;49.0;65.0
2011-04-14;10.0;41.0;55.0;67.0
2011-04-15;4.0;20.0;27.0;96.0
2011-04-16;3.0;13.0;18.0;97.0
2011-04-17;3.0;16.0;21.0;102.0
2011-04-18;5.0;23.0;31.0;97.0
2011-04-19;4.0;18.0;24.0;93.0
2011-04-20;4.0;16.0;23.0;78.0
